NC_045513.1 MK645903
NC_047205.1 MN597436
NC_047206.1 MN597437
NC_047208.1 MN843953
NC_047211.1 MN652918
NC_047213.1 MK604478
NC_047214.1 MK799641
NC_047215.1 MK799642
NC_047223.1 MK225565
NC_047226.1 MK814481
NC_047228.1 MN422306
NC_047229.1 MN422307
NC_047230.1 MK571045
NC_047232.1 MN477424
NC_047233.1 MN477425
NC_047234.1 MN046888
NC_047235.1 MN046893
NC_047236.1 MT154045
NC_047237.1 MN614126
NC_047244.1 MN746301
NC_047245.1 MN746302
NC_047246.1 MN746303
NC_047247.1 MN746304
NC_047248.1 MN746305
NC_047249.1 MN746306
NC_047250.1 MN746309
NC_047251.1 MN746310
NC_047252.1 MN433088
NC_047253.1 MN433089
NC_047254.1 MN433090
NC_047255.1 MN433091
NC_047256.1 MN433092
NC_047257.1 MN433093
NC_047258.1 MN433094
NC_047259.1 MN433095
NC_047260.1 MN433096
NC_047261.1 MN433097
NC_047262.1 MN433098
NC_047263.1 MN433099
NC_047264.1 MN433100
NC_047265.1 MN433101
NC_047266.1 MN433102
NC_047267.1 MN433103
NC_047268.1 MN433105
NC_047269.1 MN433106
NC_047270.1 MN433107
NC_047271.1 MN433108
NC_047272.1 MN433109
NC_047273.1 MN433110
NC_047274.1 MN433111
NC_047275.1 MN433112
NC_047276.1 MN433113
NC_047277.1 MN433114
NC_047278.1 MN433115
NC_047280.1 MN850406
NC_047281.1 MK817502
NC_047282.1 MK817503
NC_047283.1 MK817504
NC_047284.1 MN885802
NC_047287.1 MN893285
NC_047288.1 MT193687
NC_047291.1 MN688228
NC_047292.1 MN648401
NC_047293.1 MN648402
NC_047294.1 MN648404
NC_047295.1 MN661140
NC_047296.1 MN602455
NC_047297.1 MN694844
NC_047298.1 MN733525
NC_047300.1 MN733732
NC_047301.1 MN707924
NC_047302.1 MN699649
NC_047308.1 MT104463
NC_047309.1 MT104464
NC_047310.1 MN709789
NC_047311.1 MN709790
NC_047312.1 MN709791
NC_047313.1 MN709792
NC_047314.1 MN709793
NC_047315.1 MN709794
NC_047316.1 MN709795
NC_047317.1 MN709796
NC_047318.1 MN709797
NC_047319.1 MN709798
NC_047320.1 MN709799
NC_047321.1 MN709800
NC_047322.1 MN709801
NC_047323.1 MN709802
NC_047324.1 MN709803
NC_047325.1 MN709805
NC_047326.1 MN709806
NC_047327.1 MN709807
NC_047328.1 MN709808
NC_047329.1 MN709809
NC_047330.1 MN709810
NC_047331.1 MN709812
NC_047332.1 MN709814
NC_047333.1 MN709815
NC_047334.1 MN709816
NC_047335.1 MN709817
NC_047336.1 MN709818
NC_047337.1 MN709819
NC_047338.1 MN709820
NC_047339.1 MN709821
NC_047340.1 MN709822
NC_047341.1 MN709824
NC_047342.1 MN709825
NC_047343.1 MN709826
NC_047344.1 MN709827
NC_047345.1 MN709828
NC_047346.1 MN709829
NC_047347.1 MN709830
NC_047348.1 MN709831
NC_047349.1 MN709832
NC_047350.1 MN709833
NC_047351.1 MN709834
NC_047352.1 MN709835
NC_047353.1 MN709836
NC_047354.1 MN709837
NC_047355.1 MN709838
NC_047356.1 MN709839
NC_047357.1 MN709840
NC_047358.1 MN709841
NC_047359.1 MN709842
NC_047360.1 MN709843
NC_047361.1 MN709844
NC_047362.1 MN709845
NC_047363.1 MN709846
NC_047364.1 MN709847
NC_047365.1 MN709849
NC_047366.1 MN709850
NC_047367.1 MN709851
NC_047368.1 MN709852
NC_047369.1 MN709853
NC_047370.1 MN709854
NC_047371.1 MN709855
NC_047372.1 MN709856
NC_047373.1 MN709857
NC_047374.1 MN709858
NC_047375.1 MN709859
NC_047376.1 MN709860
NC_047377.1 MN709861
NC_047378.1 MN709862
NC_047379.1 MN709863
NC_047380.1 MN709864
NC_047381.1 MN709865
NC_047382.1 MN709866
NC_047383.1 MN709867
NC_047384.1 MN709868
NC_047385.1 MN709869
NC_047386.1 MN709870
NC_047387.1 MN709871
NC_047388.1 MN709872
NC_047389.1 MN709873
NC_047390.1 MN709874
NC_047391.1 MN709875
NC_047392.1 MN709877
NC_047393.1 MN709878
NC_047394.1 MN709879
NC_047395.1 MN709880
NC_047396.1 MN709881
NC_047397.1 MN709882
NC_047398.1 MN709883
NC_047399.1 MN709885
NC_047400.1 MN709886
NC_047401.1 MN709887
NC_047402.1 MN709888
NC_047406.1 MN934979
NC_047407.1 MK387848
NC_047408.1 MK387849
NC_047409.1 MK631950
NC_047412.1 MT039393
NC_047413.1 MT180955
NC_047414.1 MT108381
NC_047415.1 MT012630
NC_047416.1 MT186670
NC_047417.1 MN418056
NC_047418.1 MT150578
NC_047420.1 MT180128
NC_047428.1 MN810920
NC_047429.1 MT178456
NC_047430.1 MN701586
NC_047431.1 MN701587
NC_047432.1 MN627758
NC_047433.1 MN627759
NC_047434.1 MT193838
NC_047436.1 MK679765
NC_047437.1 MN413197
NC_047438.1 MN413198
NC_047439.1 MN413199
NC_047440.1 MN701585
NC_047441.1 MN659373
NC_047442.1 MH700952
NC_047443.1 MK970589
NC_047446.1 MK842154
NC_047447.1 MN967018
NC_047448.1 MN985041
NC_047450.1 MK434325
NC_047451.1 MK353217
NC_047452.1 MK353218
NC_047453.1 MK353220
NC_047454.1 MK353221
NC_047458.1 MK950153
NC_047460.1 MN989913
NC_047461.1 MN996243
NC_047463.1 MH853828
NC_047468.1 MN736954
NC_047469.1 MN736955
NC_047470.1 MN736957
NC_047471.1 MN736959
NC_047472.1 MN736960
NC_047473.1 MN736961
NC_047474.1 MN736962
NC_047475.1 MN736963
NC_047476.1 MN711720
NC_047477.1 MN711725
NC_047478.1 MN711726
NC_047481.1 MN308055
NC_047482.1 MN255323
NC_047483.1 MK787303
NC_047484.1 MN908147
NC_047485.1 MN908148
NC_047486.1 MN227130
NC_047594.1 MN727385
NC_048450.1 MH298332
NC_048451.1 MH298221
NC_048452.1 MH908962
NC_048453.1 MK782763
NC_048457.1 MN966674
NC_048458.1 MK836105
NC_048459.1 MK836106
NC_048460.1 MK713973
NC_048461.1 MK262728
NC_048462.1 MK262731
NC_048463.1 MN881100
NC_048464.1 MN985820
NC_048474.1 MH938454
NC_048478.1 MK548575
NC_048479.1 MN580547
NC_048480.1 MN604054
NC_048481.1 MN604055
NC_048482.1 MN604056
NC_048483.1 MN604057
NC_048484.1 MN604058
NC_048485.1 MN604059
NC_048486.1 MN737573
NC_048488.1 MN882701
NC_048489.1 MN882702
NC_048492.1 MN990038
NC_048493.1 MN453787
NC_048498.1 MN481989
NC_048503.1 MH119143
NC_048504.1 MH559275
NC_048505.1 MK262734
NC_048508.1 MN172194
NC_048509.1 MN562093
NC_048510.1 MK371015
NC_048511.1 MN794016
NC_048512.1 MN518848
NC_048513.1 MN095295
NC_048514.1 MH045576
NC_048515.1 MH045577
NC_048518.1 MN384259
NC_048519.1 MN384260
NC_048520.1 MN687854
NC_048522.1 MN885890
NC_048523.1 MN584923
NC_048524.1 MN654112
NC_048527.1 MN820657
NC_048528.1 MN648456
NC_048880.1 MT506232
NC_048886.1 MH490802
NC_048889.1 MT375030
NC_048890.1 MT375031
NC_048891.1 MT240857
NC_048952.1 MK675807
NC_048953.1 MK675809
NC_048954.1 MT431385
NC_048955.1 MN398392
NC_048958.1 MN990627
NC_048959.1 MN990631
NC_048960.1 MN990633
NC_048961.1 MN857162
NC_048966.1 MT396268
NC_048970.1 MT226772
NC_048971.1 MT226773
NC_048972.1 MT226774
NC_048973.1 MT226775
NC_048975.1 MT535664
NC_048978.1 MN047450
NC_048981.1 MN106248
NC_048982.1 MN106250
NC_048983.1 MN106251
NC_048985.1 MK675810
NC_048986.1 MK675811
NC_048992.1 MN990598
NC_048993.1 MN990603
NC_048994.1 MN106246
NC_048995.1 MN106247
NC_048996.1 MN106249
NC_048997.1 MN106252
NC_048998.1 MN106253
NC_048999.1 MN106254
NC_049000.1 MN106255
NC_049001.1 MN544310
NC_049002.1 MN544311
NC_049005.1 MT407463
NC_049006.1 MT239400
NC_049007.1 MN202179
NC_049008.1 MN202180
NC_049009.1 MN202183
NC_049010.1 MT374084
NC_049013.1 MT364382
NC_049014.1 MT261148
NC_049016.1 MT261154
NC_049017.1 MT261158
NC_049018.1 MT261164
NC_049019.1 MT261165
NC_049020.1 MT261166
NC_049021.1 MT261167
NC_049022.1 MT261168
NC_049023.1 MT261169
NC_049024.1 MT261170
NC_049025.1 MT261174
NC_049026.1 MT261175
NC_049027.1 MT261176
NC_049037.1 MT382661
NC_049038.1 MT382662
NC_049039.1 MT151382
NC_049043.1 MN936016
NC_049044.1 MN936017
NC_049045.1 MN936018
NC_049046.1 MN936019
NC_049047.1 MN936020
NC_049048.1 MN936021
NC_049049.1 MN936022
NC_049050.1 MN936023
NC_049051.1 MT409612
NC_049052.1 MT409613
NC_049053.1 MT409614
NC_049054.1 MT409615
NC_049055.1 MT409616
NC_049056.1 MT409617
NC_049057.1 MT409618
NC_049058.1 MT409619
NC_049060.1 MT024991
NC_049061.1 MT024992
NC_049062.1 MN218688
NC_049069.1 MT354751
NC_049070.1 MT354752
NC_049071.1 MT354753
NC_049072.1 MT354754
NC_049073.1 MT354755
NC_049074.1 MT354756
NC_049075.1 MT354757
NC_049076.1 MT354758
NC_049078.1 MN390972
NC_049080.1 MT249113
NC_049081.1 MT249114
NC_049082.1 MT249115
NC_049083.1 MT249116
NC_049084.1 MT249117
NC_049085.1 MN933929
NC_049086.1 MN933930
NC_049090.1 MN901631
NC_049093.1 MN849357
NC_049094.1 MT396269
NC_049099.1 MK820610
NC_049100.1 MK820612
NC_049101.1 MK820613
NC_049102.1 MK820614
NC_049103.1 MK820617
NC_049104.1 MK820618
NC_049105.1 MK820620
NC_049106.1 MK820622
NC_049107.1 MT435525
NC_049108.1 MK995178
NC_049109.1 MK995179
NC_049110.1 MK995180
NC_049111.1 MK995181
NC_049112.1 MK995182
NC_049113.1 MT483999
NC_049114.1 MT130714
NC_049126.1 MG751775
NC_049127.1 MG751776
NC_049129.1 MT304827
NC_049130.1 MT043350
NC_049131.1 MN866893
NC_049132.1 MN104889
NC_049133.1 MN104890
NC_049137.1 MN202595
NC_049138.1 MN202597
NC_049139.1 MN202598
NC_049140.1 MN202599
NC_049141.1 MN202600
NC_049142.1 MN202602
NC_049143.1 MN202603
NC_049144.1 MN202604
NC_049145.1 MN202605
NC_049146.1 MN202608
NC_049147.1 MN202609
NC_049148.1 MN202611
NC_049149.1 MN202612
NC_049153.1 MN418900
NC_049154.1 MN418901
NC_049155.1 MN567112
NC_049156.1 MN857418
NC_049157.1 MN275517
NC_049158.1 MN313429
NC_049159.1 MN895932
NC_049160.1 MN686284
NC_049161.1 MN840851
NC_049162.1 MT216760
NC_049163.1 MT216761
NC_049164.1 MT216762
NC_049165.1 MT216763
NC_049166.1 MT216764
NC_049167.1 MT216765
NC_049168.1 MT304829
NC_049569.1 MT341643
NC_049570.1 MG951487
NC_049571.1 MG951490
NC_049572.1 MG951500
NC_049574.1 MK637648
NC_049575.1 MK637649
NC_049576.1 MK637650
NC_049577.1 MK637651
NC_049578.1 MK637652
NC_049579.1 MK637653
NC_049580.1 MK637654
NC_049581.1 MK637655
NC_049582.1 MK637656
NC_049583.1 MK637657
NC_049584.1 MK637658
NC_049585.1 MK637659
NC_049586.1 MK637660
NC_049587.1 MK637661
NC_049588.1 MK637662
NC_049589.1 MK637663
NC_049590.1 MK637664
NC_049591.1 MK637665
NC_049592.1 MK637666
NC_049593.1 MK637667
NC_049594.1 MK637668
NC_049595.1 MK637669
NC_049596.1 MK637670
NC_049597.1 MK637671
NC_049598.1 MK637672
NC_049599.1 MK637673
NC_049600.1 MK637674
NC_049601.1 MK637675
NC_049602.1 MK637676
NC_049603.1 MK637677
NC_049604.1 MK637678
NC_049605.1 MK637679
NC_049606.1 MK637680
NC_049607.1 MK637681
NC_049608.1 MK637682
NC_049609.1 MK637683
NC_049610.1 MK637684
NC_049611.1 MK637685
NC_049612.1 MK637686
NC_049613.1 MK637687
NC_049614.1 MK637688
NC_049615.1 MK637689
NC_049616.1 MK637690
NC_049617.1 MK637691
NC_049618.1 MK637692
NC_049619.1 MK637693
NC_049620.1 MK637695
NC_049621.1 MK637696
NC_049622.1 MK637697
NC_049623.1 MK637699
NC_049624.1 MK637700
NC_049625.1 MK637701
NC_049626.1 MK637702
NC_049627.1 MK637703
NC_049628.1 MK637704
NC_049629.1 MK637705
NC_049630.1 MK637706
NC_049631.1 MK637707
NC_049632.1 MK637708
NC_049633.1 MK637709
NC_049634.1 MK637710
NC_049635.1 MK637711
NC_049636.1 MK637712
NC_049637.1 MK637713
NC_049638.1 MK637714
NC_049639.1 MK637716
NC_049640.1 MK637717
NC_049641.1 MK637718
NC_049642.1 MK637719
NC_049643.1 MK637720
NC_049644.1 MK637722
NC_049645.1 MK637723
NC_049646.1 MK637724
NC_049647.1 MK637725
NC_049648.1 MK637726
NC_049649.1 MK637727
NC_049650.1 MK637728
NC_049651.1 MK637729
NC_049652.1 MK637730
NC_049653.1 MK637731
NC_049654.1 MK637732
NC_049655.1 MK637733
NC_049656.1 MK637734
NC_049657.1 MK637735
NC_049658.1 MK637737
NC_049659.1 MK637738
NC_049660.1 MK637739
NC_049661.1 MK637740
NC_049662.1 MK637741
NC_049663.1 MK637742
NC_049664.1 MK637744
NC_049665.1 MK637745
NC_049666.1 MK637746
NC_049667.1 MK637747
NC_049668.1 MK637748
NC_049669.1 MK637749
NC_049670.1 MK637750
NC_049671.1 MK637751
NC_049672.1 MK637752
NC_049673.1 MK637753
NC_049674.1 MK637754
NC_049675.1 MK637755
NC_049676.1 MK637756
NC_049677.1 MK637757
NC_049678.1 MK637758
NC_049679.1 MK637760
NC_049680.1 MK637761
NC_049681.1 MK637762
NC_049682.1 MK637763
NC_049683.1 MK637764
NC_049684.1 MK637765
NC_049685.1 MK637766
NC_049686.1 MK637767
NC_049687.1 MK637769
NC_049863.1 MT561271
NC_049867.1 MT062856
NC_049869.1 MT555120
NC_049870.1 MT555121
NC_049872.1 MN556604
NC_049874.1 MT622521
NC_049875.1 MK860967
NC_049876.1 MK860968
NC_049877.1 MK860969
NC_049879.1 MT591268
NC_049883.1 MT604161
NC_049884.1 MT385071
NC_049885.1 MT385077
NC_049886.1 MT385080
NC_049887.1 MT385081
NC_049888.1 MT385082
NC_049889.1 MT385083
NC_049891.1 MT409177
NC_049897.1 MT242598
NC_049898.1 MT590775
NC_050006.1 MN712463
NC_050007.1 MN712464
NC_050008.1 MN712465
NC_050009.1 MN712466
NC_050035.1 MT395644
NC_050036.1 MT395645
NC_050037.1 MT395646
NC_050038.1 MT395649
NC_050039.1 MT395651
NC_050040.1 MT395655
NC_050043.1 MH454261
NC_050046.1 MT022427
NC_050047.1 MT024676
NC_050048.1 MT611420
NC_050051.1 MT040192
NC_050052.1 MT381945
NC_050053.1 MT381946
NC_050054.1 MT017652
NC_050055.1 MN885889
NC_050059.1 MT593044
NC_050061.1 MN953049
NC_050062.1 MN953050
NC_050063.1 MN953051
NC_050064.1 MT261462
NC_050065.1 MT246265
NC_050158.1 MH507167
NC_050159.1 MH507168
NC_050161.1 MT544405
NC_050162.1 MT533181
NC_050163.1 MT559306
NC_050165.1 MT239402
NC_050169.1 MT644126
NC_050170.1 MT473237
NC_050171.1 MN698968
NC_050204.1 MT120855
NC_050205.1 MT120857
NC_050206.1 MT120859
NC_050207.1 MT120861
NC_050208.1 MT120863
NC_050209.1 MT120864
NC_050210.1 MT120866
NC_050211.1 MN614308
NC_050212.1 MN091803
NC_050243.1 KX668174
NC_050244.1 KX668175
NC_050245.1 KX668177
NC_050246.1 KX668179
NC_050247.1 KX668180
NC_050248.1 KX668181
NC_050249.1 MN017129
NC_050250.1 MN017131
NC_050251.1 MN017132
NC_050253.1 MT227812
NC_050254.1 MT227813
NC_050260.1 MT418597
NC_050268.1 MN906759
NC_050269.1 MN906760
NC_050270.1 MK310272
NC_050277.1 MT663149
NC_050285.1 MN879405
NC_050292.1 MN857472
NC_050296.1 MN885523
NC_050300.1 MT648824
NC_050306.1 MK613864
NC_050307.1 MN822304
NC_050330.1 MK701988
NC_050331.1 MK701989
NC_050332.1 MK701991
NC_050333.1 MK701992
NC_050345.1 MN698962
NC_050346.1 MN698964
NC_050347.1 MN698965
NC_050348.1 MN698966
NC_050349.1 MN698967
NC_050350.1 MN709399
NC_050351.1 MN652924
NC_050352.1 MK852705
NC_050353.1 MT679554
NC_050354.1 MN756594
NC_050355.1 MN057953
NC_050356.1 MN587871
NC_050357.1 MN602331
NC_050358.1 MN627221
NC_050360.1 MN274947
NC_050361.1 MN428456
NC_050362.1 MN428458
NC_050363.1 MN428459
NC_050364.1 MN428460
NC_050365.1 MN428461
NC_050366.1 MN428462
NC_050367.1 MN428463
NC_050368.1 MN428464
NC_050369.1 MN428465
NC_050370.1 MN428466
NC_050371.1 MN527332
NC_050372.1 MN527333
NC_050373.1 MN527334
NC_050384.1 MT726019
NC_050388.1 MT663342
NC_050389.1 MT663343
NC_050394.1 MT712073
NC_050395.1 MK336392
NC_050396.1 MN548766
NC_050402.1 MN996272
NC_050403.1 MN983108
NC_050404.1 MN983109
NC_050405.1 MN983110
NC_050406.1 MN983111
NC_050407.1 MN983113
NC_050408.1 MN983114
NC_050409.1 MN983115
NC_050410.1 MN983116
NC_050411.1 MN970100
NC_050412.1 MN970101
NC_050413.1 MN955295
NC_050414.1 MN955296
NC_050415.1 MN955297
NC_050416.1 MN944893
NC_050417.1 MN937348
NC_050645.1 MN335255
NC_050646.1 MN329776
NC_050648.1 MN626718
NC_050650.1 MT460410
NC_050652.1 MN385684
NC_050654.1 MT228723
NC_050655.1 MT228724
NC_050656.1 MT228725
NC_050657.1 MT228726
NC_050658.1 MT228728
NC_050659.1 MT228729
NC_050660.1 MT228730
NC_050663.1 MN566837
NC_050666.1 MN446000
NC_050667.1 MN541093
NC_050668.1 MN315268
NC_050669.1 MN315271
NC_050670.1 MN315272
NC_050671.1 MN315274
NC_050672.1 MN315277
NC_050673.1 MN315282
NC_050674.1 MN315283
NC_050678.1 MN602748
NC_050684.1 MN504795
NC_050687.1 MT548043
NC_050689.1 MT430949
NC_050690.1 MN883841
NC_050739.1 KX595275
NC_050741.1 MH793273
NC_050744.1 MK228834
NC_050745.1 MK679766
NC_050746.1 MK679767
NC_050747.1 MK679769
NC_050748.1 MK679770
NC_050749.1 MK679771
NC_050750.1 MK679772
NC_050751.1 MK679773
NC_050752.1 MK679774
NC_050753.1 MK679775
NC_050754.1 MK679776
NC_050755.1 MK679777
NC_050756.1 MK679779
NC_050757.1 MK679780
NC_050758.1 MK679781
NC_050759.1 MK679782
NC_050760.1 MK679783
NC_050761.1 MK679784
NC_050762.1 MK679785
NC_050763.1 MK679786
NC_050764.1 MK679787
NC_050765.1 MK679788
NC_050766.1 MK679789
NC_050767.1 MK679790
NC_050768.1 MK679792
NC_050769.1 MK679794
NC_050770.1 MK679795
NC_050771.1 MK679797
NC_050772.1 MK679798
NC_050773.1 MK679799
NC_050774.1 MK679800
NC_050775.1 MK679801
NC_050776.1 MK679802
NC_050777.1 MK679803
NC_050778.1 MK679804
NC_050779.1 MK679805
NC_050780.1 MK679806
NC_050781.1 MK679807
NC_050782.1 MT644125
NC_050783.1 MT861130
NC_050784.1 MT845119
NC_050785.1 MT845120
NC_050786.1 MT845122
NC_050787.1 MT845128
NC_050788.1 MT845129
NC_050789.1 MT845133
NC_050790.1 MT845135
NC_050791.1 MT845136
NC_050792.1 MT845142
NC_050793.1 MT845143
NC_050794.1 MT845145
NC_050795.1 MT845146
NC_050796.1 MT845147
NC_050797.1 MT845148
NC_050798.1 MT845151
NC_050799.1 MT845152
